,Ticker,Open,High,Low,Close,Volume
2024-07-29 10:35:00,AAPL,217.8500,218.3500,217.8500,218.3100,365007
2024-07-29 10:30:00,AAPL,217.7500,217.9500,217.4450,217.8500,420346
2024-07-29 10:25:00,AAPL,218.1600,218.1600,217.5000,217.7300,547256
2024-07-29 10:20:00,AAPL,217.7800,218.4200,217.7600,218.1620,423720
2024-07-29 10:15:00,AAPL,217.8300,218.1300,217.6800,217.7900,441123
2024-07-29 10:10:00,AAPL,218.1100,218.1400,217.6300,217.8300,575972
2024-07-29 10:05:00,AAPL,218.5200,218.8600,218.0700,218.1200,453674
2024-07-29 10:00:00,AAPL,218.9500,219.0900,218.4300,218.5450,517006
2024-07-29 09:55:00,AAPL,218.7400,218.9900,218.5000,218.9400,507596
2024-07-29 09:50:00,AAPL,218.9950,219.0500,218.1400,218.7000,641373
2024-07-29 09:45:00,AAPL,218.5000,219.3000,218.5000,219.0050,873865
2024-07-29 09:40:00,AAPL,218.1050,218.7850,217.7300,218.5100,789686
2024-07-29 09:35:00,AAPL,217.1100,218.2900,216.6500,218.1100,1063280
2024-07-29 09:30:00,AAPL,216.9600,217.5900,215.7500,217.0600,2205655
2024-07-29 09:25:00,AAPL,216.8200,217.0800,216.5000,216.9000,50290
2024-07-29 09:20:00,AAPL,216.9250,217.0100,216.8200,217.0000,15493
2024-07-29 09:15:00,AAPL,216.9200,216.9500,216.8000,216.9000,12554
2024-07-29 09:10:00,AAPL,216.9100,216.9500,216.8500,216.8950,11815
2024-07-29 09:05:00,AAPL,216.9300,217.0000,216.7200,216.8950,22948
2024-07-29 09:00:00,AAPL,217.0300,217.0800,216.8000,216.8000,27683
2024-07-29 08:55:00,AAPL,217.3200,217.6100,216.6200,217.0300,17802
2024-07-29 08:50:00,AAPL,217.0800,217.3600,217.0400,217.1800,24096
2024-07-29 08:45:00,AAPL,217.3700,217.3800,217.0400,217.1000,19616
2024-07-29 08:40:00,AAPL,217.5700,217.6800,217.3400,217.4000,11622
2024-07-29 08:35:00,AAPL,217.5700,217.6900,217.5000,217.6200,14740
2024-07-29 08:30:00,AAPL,217.4500,217.6800,217.4100,217.5600,39004
2024-07-29 08:25:00,AAPL,217.4500,217.6800,217.3300,217.4600,16921
2024-07-29 08:20:00,AAPL,217.6230,217.6800,217.3800,217.4900,24753
2024-07-29 08:15:00,AAPL,217.3280,217.6800,217.1200,217.6200,22618
2024-07-29 08:10:00,AAPL,217.5300,217.5500,217.2000,217.3300,16019
2024-07-29 08:05:00,AAPL,218.7000,219.2000,217.4800,217.5400,26175
2024-07-29 08:00:00,AAPL,217.7500,219.3500,216.9290,217.9300,81156
2024-07-29 07:55:00,AAPL,218.0900,218.1100,217.9900,218.0900,2388
2024-07-29 07:50:00,AAPL,218.1100,218.1200,217.9300,218.1100,6242
2024-07-29 07:45:00,AAPL,218.0100,218.1500,217.9900,218.0700,7555
2024-07-29 07:40:00,AAPL,218.2000,218.2300,218.0100,218.0100,5248
2024-07-29 07:35:00,AAPL,218.2000,218.2300,218.0700,218.2100,5966
2024-07-29 07:30:00,AAPL,217.9900,218.2000,217.9700,218.1700,9857
2024-07-29 07:25:00,AAPL,217.8600,218.0000,217.7400,218.0000,11017
2024-07-29 07:20:00,AAPL,217.7900,217.9600,217.7500,217.8900,4312
2024-07-29 07:15:00,AAPL,217.8000,217.8900,217.7300,217.7900,3151
2024-07-29 07:10:00,AAPL,217.5700,217.9200,217.5700,217.8000,7206
2024-07-29 07:05:00,AAPL,217.5400,217.6400,217.5000,217.5700,4941
2024-07-29 07:00:00,AAPL,217.7700,217.8700,217.5000,217.5600,10917
2024-07-29 06:55:00,AAPL,217.3200,217.7600,217.3200,217.7200,4664
2024-07-29 06:50:00,AAPL,217.4100,217.5100,217.3000,217.3200,4084
2024-07-29 06:45:00,AAPL,217.3800,217.4700,217.3700,217.4100,515
2024-07-29 06:40:00,AAPL,217.1800,217.4800,217.0600,217.4400,2152
2024-07-29 06:35:00,AAPL,217.7100,217.7100,216.8100,217.0500,14557
2024-07-29 06:30:00,AAPL,217.8100,217.9700,217.7000,217.7400,1489
2024-07-29 06:25:00,AAPL,218.1400,218.2600,217.8000,217.8100,10891
2024-07-29 06:20:00,AAPL,218.5000,218.5400,218.0000,218.1400,12229
2024-07-29 06:15:00,AAPL,218.4100,218.5400,218.4100,218.4900,1068
2024-07-29 06:10:00,AAPL,218.4100,218.5100,218.3900,218.4200,309
2024-07-29 06:05:00,AAPL,218.4800,218.5800,218.3500,218.5400,4377
2024-07-29 06:00:00,AAPL,218.6500,218.7000,218.4000,218.4100,3093
2024-07-29 05:55:00,AAPL,218.7300,218.7500,218.6500,218.6900,332
2024-07-29 05:50:00,AAPL,218.7500,218.7700,218.6900,218.7200,539
2024-07-29 05:45:00,AAPL,218.7900,218.8000,218.7500,218.7600,460
2024-07-29 05:40:00,AAPL,218.8000,218.8100,218.7700,218.7800,356
2024-07-29 05:35:00,AAPL,218.7800,218.8200,218.7500,218.7900,567
2024-07-29 05:30:00,AAPL,218.8100,218.8100,218.7300,218.7800,330
2024-07-29 05:25:00,AAPL,218.7800,218.8100,218.7100,218.7800,1131
2024-07-29 05:20:00,AAPL,218.7500,218.8200,218.7200,218.7800,1562
2024-07-29 05:15:00,AAPL,218.6500,218.7500,218.6400,218.7300,1556
2024-07-29 05:10:00,AAPL,218.6900,218.6900,218.5500,218.6500,976
2024-07-29 05:05:00,AAPL,218.4000,218.6900,218.3800,218.6900,2228
2024-07-29 05:00:00,AAPL,218.2800,218.5400,218.2200,218.5000,6657
2024-07-29 04:55:00,AAPL,218.1900,218.2900,218.1600,218.2600,1686
2024-07-29 04:50:00,AAPL,218.1400,218.2400,218.1400,218.2300,170
2024-07-29 04:45:00,AAPL,218.1400,218.1800,218.1200,218.1200,203
2024-07-29 04:40:00,AAPL,218.1100,218.1900,218.1100,218.1700,1198
2024-07-29 04:35:00,AAPL,218.3600,218.3700,218.0600,218.1100,5121
2024-07-29 04:30:00,AAPL,218.3500,218.3800,218.2800,218.3800,2013
2024-07-29 04:25:00,AAPL,218.3900,218.4000,218.2000,218.3600,1172
2024-07-29 04:20:00,AAPL,218.3700,218.4900,218.3500,218.3500,1916
2024-07-29 04:15:00,AAPL,218.4000,218.4200,218.2700,218.4000,3815
2024-07-29 04:10:00,AAPL,218.3600,218.4900,218.3100,218.3300,2654
2024-07-29 04:05:00,AAPL,218.4000,218.4400,218.0400,218.3300,9290
2024-07-29 04:00:00,AAPL,219.2600,219.2600,218.2500,218.4400,4614
